"Variable","OR","Lower_CI","Upper_CI","p_value"
"(Intercept)",0.01,0,0.03,0
"CESDR_TOTAL_SUM",1.06,1.03,1.09,0
"ACES___1Yes",0.56,0.2,1.61,0.285
"ACES___2Yes",5.88,2.64,13.1,0
"ACES___3Yes",2.23,0.94,5.3,0.069
"ACES___7Yes",0.28,0.09,0.86,0.026
"ACES___8Yes",2.46,1.1,5.48,0.028
"ACES___10Yes",8.61,2.33,31.91,0.001
"RACEOther",0.17,0.05,0.57,0.004
"ETHNICITYHispanic/Latino",3.69,1.37,9.91,0.01
"INCOME30to50k",1.52,0.49,4.69,0.464
"INCOME51to75k",0.84,0.29,2.45,0.743
"INCOME76to100k",0.56,0.16,1.95,0.361
"INCOME>100k",1.27,0.4,3.97,0.685
